Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
p,<space>_p,0.12341976165771484,0.17032194137573242,0.0357365608215332,0,98.32
r,p_r,0.015020370483398438,0.05075693130493164,0.05963635444641113,0,98.32
e,r_e,0.06973576545715332,0.12937211990356445,0.06419610977172852,0,98.32
d,e_d,0.0799407958984375,0.14413690567016602,0.07953143119812012,0,98.32
i,d_i,0.009538888931274414,0.08907032012939453,0.05329465866088867,0,98.32
c,i_c,0.040560245513916016,0.09385490417480469,0.07078409194946289,0,98.32
t,c_t,0.10901117324829102,0.1797952651977539,0.05676698684692383,0,98.32
<space>,t_<space>,0.004341840744018555,0.06110882759094238,0.06024312973022461,0,98.32
w,<space>_w,0.08429479598999023,0.14453792572021484,0.09143257141113281,0,98.32
h,w_h,0.14209389686584473,0.05779910087585449,0.045922040939331055,1,98.32
o,h_o,0.10868525505065918,0.15460729598999023,0.06252717971801758,0,98.32
<space>,o_<space>,0.03514862060546875,0.09767580032348633,0.07652115821838379,0,98.32
i,<space>_i,0.10723996162414551,0.07209134101867676,0.04133439064025879,1,98.32
<space>,i_<space>,0.1117098331451416,0.1530442237854004,0.059998273849487305,0,98.32
a,<space>_a,0.038576364517211914,0.09857463836669922,0.08556056022644043,0,98.32
m,a_m,0.0911095142364502,0.05253314971923828,0.06105303764343262,1,98.32
<space>,m_<space>,0.06969094276428223,0.13074398040771484,0.04680991172790527,0,98.32
a,<space>_a,0.10980105400085449,0.15661096572875977,0.06857442855834961,0,98.32
c,a_c,0.09516739845275879,0.1637418270111084,0.054436683654785156,0,98.32
c,c_c,0.05983471870422363,0.11427140235900879,0.08342385292053223,0,98.32
u,c_u,0.11975383758544922,0.059919118881225586,0.04083967208862305,1,98.32
r,u_r,0.07726883888244629,0.11810851097106934,0.04964280128479004,0,98.32
a,r_a,0.09018588066101074,0.13982868194580078,0.06263995170593262,0,98.32
t,a_t,0.08156919479370117,0.1442091464996338,0.061322927474975586,0,98.32
e,t_e,0.08513998985290527,0.14646291732788086,0.08526206016540527,0,98.32
l,e_l,0.15109896659851074,0.06595897674560547,0.07560276985168457,1,98.32
y,l_y,0.06543111801147461,0.14103388786315918,0.07047533988952637,0,98.32
h,START,0.0,0.0,0.000926971435546875,1,97.15
e,h_e,0.014297246932983398,0.015224218368530273,0.07788515090942383,0,97.15
l,e_l,0.02892136573791504,0.10680651664733887,0.040874481201171875,0,97.15
l,l_l,0.07490301132202148,0.11577749252319336,0.05974745750427246,0,97.15
o,l_o,0.06569647789001465,0.1254439353942871,0.05445051193237305,0,97.15
<space>,o_<space>,0.03286933898925781,0.08731985092163086,0.07526326179504395,0,97.15
i,<space>_i,0.22429156303405762,0.29955482482910156,0.0366060733795166,0,97.15
<space>,i_<space>,0.12212443351745605,0.15873050689697266,0.060674428939819336,0,97.15
a,<space>_a,0.04092860221862793,0.10160303115844727,0.08217263221740723,0,97.15
m,a_m,0.0796959400177002,0.038767337799072266,0.06357026100158691,1,97.15
<space>,m_<space>,0.06753253936767578,0.1311028003692627,0.05727958679199219,0,97.15
u,<space>_u,0.1117391586303711,0.16901874542236328,0.039916276931762695,0,97.15
s,u_s,0.022357702255249023,0.06227397918701172,0.07626748085021973,0,97.15
e,s_e,0.08299708366394043,0.15926456451416016,0.046266794204711914,0,97.15
r,e_r,0.0868077278137207,0.13307452201843262,0.06772780418395996,0,97.15
<space>,r_<space>,0.015933513641357422,0.08366131782531738,0.0531156063079834,0,97.15
1,<space>_1,0.07259774208068848,0.12571334838867188,0.06356358528137207,0,97.15
<space>,1_<space>,0.22254228591918945,0.2861058712005615,0.08222413063049316,0,97.15
p,<space>_p,0.0884089469909668,0.17063307762145996,0.03719830513000488,0,97.15
l,p_l,0.09580707550048828,0.13300538063049316,0.0567934513092041,0,97.15
e,l_e,0.14151358604431152,0.04570651054382324,0.06276965141296387,1,97.15
a,e_a,0.06834053993225098,0.13111019134521484,0.11032748222351074,0,97.15
s,a_s,0.12643980979919434,0.05809926986694336,0.08057618141174316,1,97.15
e,s_e,0.08018136024475098,0.16075754165649414,0.07254910469055176,0,97.15
<space>,e_<space>,0.04021096229553223,0.11276006698608398,0.03290987014770508,0,97.15
c,<space>_c,0.05944538116455078,0.09235525131225586,0.0844871997833252,0,97.15
o,c_o,0.022944927215576172,0.10743212699890137,0.03779125213623047,0,97.15
r,o_r,0.06404876708984375,0.10184001922607422,0.04340243339538574,0,97.15
r,r_r,0.08728694915771484,0.13068938255310059,0.06405878067016602,0,97.15
e,r_e,0.07368946075439453,0.13774824142456055,0.06381750106811523,0,97.15
c,e_c,0.10097408294677734,0.16479158401489258,0.07495808601379395,0,97.15
t,c_t,0.0999002456665039,0.17485833168029785,0.08615922927856445,0,97.15
<space>,t_<space>,0.15846943855285645,0.05856919288635254,0.05203413963317871,1,97.15
i,<space>_i,0.12891292572021484,0.18094706535339355,0.03622078895568848,0,97.15
t,i_t,0.02232074737548828,0.05854153633117676,0.0638127326965332,0,97.15
w,START,0.0,0.0,0.005501270294189453,1,84.64
e,w_e,0.07524418830871582,0.08074545860290527,0.07511639595031738,0,84.64
